Date,Measure,Value,Category
01/11/2019, Volume , 97 ,Clothing
01/12/2019, Volume , 99 ,Clothing
01/01/2020, Volume , 101 ,Clothing
01/02/2020, Volume , 101 ,Clothing
01/03/2020, Volume , 66 ,Clothing
01/04/2020, Volume , 32 ,Clothing
01/05/2020, Volume , 39 ,Clothing
01/06/2020, Volume , 66 ,Clothing
01/07/2020, Volume , 77 ,Clothing
01/08/2020, Volume , 86 ,Clothing
01/09/2020, Volume , 86 ,Clothing
01/10/2020, Volume , 86 ,Clothing
01/11/2020, Volume , 68 ,Clothing
01/12/2020, Volume , 83 ,Clothing
01/01/2021, Volume , 53 ,Clothing
01/02/2021, Volume , 51 ,Clothing
01/03/2021, Volume , 59 ,Clothing
01/04/2021, Volume , 99 ,Clothing
01/05/2021, Volume , 93 ,Clothing
01/06/2021, Volume , 91 ,Clothing
01/07/2021, Volume , 88 ,Clothing
01/08/2021, Volume , 94 ,Clothing
01/09/2021, Volume , 95 ,Clothing
01/10/2021, Volume , 100 ,Clothing
01/11/2021, Volume , 101 ,Clothing
01/12/2021, Volume , 90 ,Clothing
01/01/2022, Volume , 89 ,Clothing
01/02/2022, Volume , 99 ,Clothing
01/03/2022, Volume , 99 ,Clothing
01/04/2022, Volume , 99 ,Clothing
01/05/2022, Volume , 101 ,Clothing
01/01/2015, Proportion , 4 ,Supermarkets
01/02/2015, Proportion , 4 ,Supermarkets
01/03/2015, Proportion , 4 ,Supermarkets
01/04/2015, Proportion , 4 ,Supermarkets
01/05/2015, Proportion , 4 ,Supermarkets
01/06/2015, Proportion , 4 ,Supermarkets
01/07/2015, Proportion , 4 ,Supermarkets
01/08/2015, Proportion , 5 ,Supermarkets
01/09/2015, Proportion , 4 ,Supermarkets
01/10/2015, Proportion , 4 ,Supermarkets
01/11/2015, Proportion , 4 ,Supermarkets
01/12/2015, Proportion , 5 ,Supermarkets
01/01/2016, Proportion , 5 ,Supermarkets
01/02/2016, Proportion , 5 ,Supermarkets
01/03/2016, Proportion , 5 ,Supermarkets
01/04/2016, Proportion , 5 ,Supermarkets
01/05/2016, Proportion , 5 ,Supermarkets
01/06/2016, Proportion , 5 ,Supermarkets
01/07/2016, Proportion , 5 ,Supermarkets
01/08/2016, Proportion , 5 ,Supermarkets
01/09/2016, Proportion , 5 ,Supermarkets
01/10/2016, Proportion , 5 ,Supermarkets
01/11/2016, Proportion , 6 ,Supermarkets
01/12/2016, Proportion , 6 ,Supermarkets
01/01/2017, Proportion , 5 ,Supermarkets
01/02/2017, Proportion , 5 ,Supermarkets
01/03/2017, Proportion , 5 ,Supermarkets
01/04/2017, Proportion , 5 ,Supermarkets
01/05/2017, Proportion , 5 ,Supermarkets
01/06/2017, Proportion , 5 ,Supermarkets
01/07/2017, Proportion , 6 ,Supermarkets
01/08/2017, Proportion , 6 ,Supermarkets
01/09/2017, Proportion , 6 ,Supermarkets
01/10/2017, Proportion , 6 ,Supermarkets
01/11/2017, Proportion , 6 ,Supermarkets
01/12/2017, Proportion , 6 ,Supermarkets
01/01/2018, Proportion , 6 ,Supermarkets
01/02/2018, Proportion , 6 ,Supermarkets
01/03/2018, Proportion , 6 ,Supermarkets
01/04/2018, Proportion , 6 ,Supermarkets
01/05/2018, Proportion , 6 ,Supermarkets
01/06/2018, Proportion , 6 ,Supermarkets
01/07/2018, Proportion , 6 ,Supermarkets
01/08/2018, Proportion , 6 ,Supermarkets
01/09/2018, Proportion , 6 ,Supermarkets
01/10/2018, Proportion , 6 ,Supermarkets
01/11/2018, Proportion , 6 ,Supermarkets
01/12/2018, Proportion , 6 ,Supermarkets
01/01/2019, Proportion , 5 ,Supermarkets
01/02/2019, Proportion , 6 ,Supermarkets
01/03/2019, Proportion , 5 ,Supermarkets
01/04/2019, Proportion , 6 ,Supermarkets
01/05/2019, Proportion , 6 ,Supermarkets
01/06/2019, Proportion , 5 ,Supermarkets
01/07/2019, Proportion , 6 ,Supermarkets
01/08/2019, Proportion , 6 ,Supermarkets
01/09/2019, Proportion , 6 ,Supermarkets
01/10/2019, Proportion , 6 ,Supermarkets
01/11/2019, Proportion , 6 ,Supermarkets
01/12/2019, Proportion , 5 ,Supermarkets
01/01/2020, Proportion , 5 ,Supermarkets
01/02/2020, Proportion , 5 ,Supermarkets
01/03/2020, Proportion , 6 ,Supermarkets
01/04/2020, Proportion , 9 ,Supermarkets
01/05/2020, Proportion , 11 ,Supermarkets
01/06/2020, Proportion , 11 ,Supermarkets
01/07/2020, Proportion , 11 ,Supermarkets
01/08/2020, Proportion , 11 ,Supermarkets
01/09/2020, Proportion , 11 ,Supermarkets
01/10/2020, Proportion , 11 ,Supermarkets
01/11/2020, Proportion , 11 ,Supermarkets
