Ward Code,Ward Name,Time Period,Total Offenders,Total Offences,Latest Mid-Year Population Estimates (age 10-17 years),"Offenders (rate per 1,000)"
E05010889,Bishopsworth,2020/21,0,0,1008,0
E05010892,Central,2020/21,0,0,525,0
E05010898,Filwood,2020/21,12,38,1665,7.207207207
E05010899,Frome Vale,2020/21,3,5,1040,2.884615385
E05010916,Stoke Bishop,2020/21,2,3,984,2.032520325
E05010886,Avonmouth and Lawrence Weston,2021/22,12,29,2147,5.589194224
E05010903,Hillfields,2021/22,8,11,1368,5.847953216
E05010904,Horfield,2021/22,2,5,977,2.047082907
E05010910,St George Central,2021/22,4,10,1056,3.787878788
E05010885,Ashley,2016/17,13,27,1500,8.666666667
E05010891,Brislington West,2016/17,9,23,805,11.18012422
E05010894,Clifton Down,2016/17,0,0,394,0
E05010905,Hotwells and Harbourside,2016/17,4,30,138,28.98550725
,Bristol,2016/17,317,861,35341,8.969751846
E05010904,Horfield,2017/18,7,16,942,7.430997877
E05010887,Bedminster,2018/19,2,3,695,2.877697842
E05010890,Brislington East,2018/19,7,11,898,7.795100223
E05010904,Horfield,2018/19,8,14,942,8.492569002
E05010912,St George West,2018/19,3,3,1064,2.819548872
E05010917,Westbury-on-Trym and Henleaze,2018/19,2,2,1930,1.03626943
E05010892,Central,2019/20,1,4,481,2.079002079
E05010908,Lockleaze,2019/20,6,15,1428,4.201680672
E05010914,Southville,2019/20,1,1,604,1.655629139
E05010917,Westbury-on-Trym and Henleaze,2019/20,3,3,2021,1.484413657
E05010888,Bishopston and Ashley Down,2020/21,1,1,866,1.154734411
E05010891,Brislington West,2020/21,4,7,784,5.102040816
E05010894,Clifton Down,2020/21,0,0,406,0
E05010903,Hillfields,2020/21,6,25,1379,4.35097897
E05010904,Horfield,2020/21,5,8,960,5.208333333
E05010907,Lawrence Hill,2020/21,2,2,1941,1.030396703
E05010913,Southmead,2020/21,7,23,1475,4.745762712
E05010896,Easton,2021/22,4,13,1090,3.669724771
E05010905,Hotwells and Harbourside,2021/22,1,12,189,5.291005291
E05010913,Southmead,2021/22,13,15,1479,8.789722786
E05010918,Windmill Hill,2021/22,2,2,909,2.200220022
E05010892,Central,2016/17,6,17,383,15.66579634
E05010908,Lockleaze,2016/17,14,27,1323,10.58201058
E05010909,Redland,2016/17,2,3,1425,1.403508772
E05010914,Southville,2016/17,3,5,549,5.464480874
E05010885,Ashley,2017/18,10,17,1579,6.333122229
E05010891,Brislington West,2017/18,10,27,798,12.53132832
E05010906,Knowle,2017/18,14,36,1289,10.86113266
E05010908,Lockleaze,2017/18,10,24,1378,7.256894049
E05010909,Redland,2017/18,2,2,1451,1.378359752
E05010899,Frome Vale,2018/19,7,13,987,7.092198582
E05010914,Southville,2018/19,1,2,347,2.88184438
E05010887,Bedminster,2019/20,3,6,714,4.201680672
E05010894,Clifton Down,2019/20,,,393,0
E05010902,Hengrove and Whitchurch Park,2019/20,14,28,1435,9.756097561
E05010907,Lawrence Hill,2019/20,13,23,1864,6.974248927
E05010890,Brislington East,2020/21,0,0,941,0
E05010893,Clifton,2020/21,0,0,767,0
E05010897,Eastville,2020/21,8,27,1205,6.639004149
E05010901,Henbury and Brentry,2020/21,11,28,1102,9.98185118
E05010908,Lockleaze,2020/21,6,7,1492,4.021447721
E05010911,St George Troopers Hill,2020/21,2,4,447,4.474272931
E05010915,Stockwood,2020/21,6,7,970,6.18556701
E05010917,Westbury-on-Trym and Henleaze,2020/21,1,1,2044,0.489236791
,Bristol,2020/21,146,369,37610,3.881946291
E05010888,Bishopston and Ashley Down,2021/22,4,5,927,4.314994606
E05010889,Bishopsworth,2021/22,4,4,1029,3.887269193
E05010890,Brislington East,2021/22,3,11,965,3.10880829
E05010900,Hartcliffe and Withywood,2021/22,14,20,2198,6.369426752
